,表中文名,表英文名,字段中文名,字段英文名,字段类型,字段描述,字段权限,字段权限描述,字段权限类型
0,robotinfo,机器人信息表,机器人ID,robotid,UUIDField,,,,
1,robotinfo,机器人信息表,机器人名称,robotname,CharField,,,,
2,robotinfo,机器人信息表,型号编号,mokwkwdelnumber,CharField,,,,
3,robotinfo,机器人信息表,序列号,serialnumber,CharField,,,,
4,robotinfo,机器人信息表,生产日期,manufacturedate,DateField,,,,
5,robotinfo,机器人信息表,最近维护日期,lkwkwastmakwkwintenancedate,DateField,,,,
6,robotinfo,机器人信息表,运行状态,operationalstatus,CharField,,,,
7,robotinfo,机器人信息表,位置,location,CharField,,,,
8,robotinfo,机器人信息表,部门ID,departmentid,UUIDField,,,,
9,productionlkwkwineinfo,生产线信息表,生产线ID,productionlkwkwineid,UUIDField,,,,
10,productionlkwkwineinfo,生产线信息表,生产线名称,productionlkwkwinename,CharField,,,,
11,productionlkwkwineinfo,生产线信息表,生产线位置,location,CharField,,,,
12,productionlkwkwineinfo,生产线信息表,创建日期,creationdate,DateField,,,,
13,productionlkwkwineinfo,生产线信息表,是否激活,isactive,BooleanField,,,,
14,productionlkwkwineinfo,生产线信息表,最大产能,maxcapacity,CharField,,,,
15,productionlkwkwineinfo,生产线信息表,维护周期,makwkwintenancecycle,CharField,,,,
16,productionlkwkwineinfo,生产线信息表,上次维护日期,lkwkwastmakwkwintenancedate,DateField,,,,
17,productionlkwkwineinfo,生产线信息表,机器人数量,robotcount,IntegerField,,,,
18,productionlkwkwineinfo,生产线信息表,关联工厂ID,associatedfactkwkworyid,SelectField,,,,
19,safetymonitkwkworlog,安全监控日志表,日志ID,logid,UUIDField,,,,
20,safetymonitkwkworlog,安全监控日志表,设备ID,deviceid,UUIDField,,,,
21,safetymonitkwkworlog,安全监控日志表,机器人ID,robotid,UUIDField,,,,
22,safetymonitkwkworlog,安全监控日志表,事件类型,eventtype,CharField,,,,
23,safetymonitkwkworlog,安全监控日志表,事件发生时间,eventtime,DateTimeField,,,,
24,safetymonitkwkworlog,安全监控日志表,事件描述,eventdescription,TextField,,,,
25,safetymonitkwkworlog,安全监控日志表,严重程度,severity,CharField,,,,
26,safetymonitkwkworlog,安全监控日志表,采取的措施,actiontaken,CharField,,,,
27,safetymonitkwkworlog,安全监控日志表,操作人员ID,operatkwkworid,UUIDField,,,,
28,alarmreckwkword,报警记录表,记录ID,id,UUIDField,,,,
29,alarmreckwkword,报警记录表,报警时间,alarmtime,DateTimeField,,,,
30,alarmreckwkword,报警记录表,报警类型,alarmtype,CharField,,,,
31,alarmreckwkword,报警记录表,报警等级,alarmlevel,CharField,,,,
32,alarmreckwkword,报警记录表,报警描述,description,TextField,,,,
33,alarmreckwkword,报警记录表,机器人ID关联字段,robotid,SelectField,,,,
34,alarmreckwkword,报警记录表,是否已解决,resolved,BooleanField,,,,
35,alarmreckwkword,报警记录表,解决时间,resolvedtime,DateTimeField,,,,
36,alarmreckwkword,报警记录表,报警位置,location,CharField,,,,
37,robotlocation,机器人位置表,机器人ID唯一标识每一个智能机器人的编号,robotid,UUIDField,,,,
38,robotlocation,机器人位置表,位置编码机器人当前所在位置的唯一编码,locationcode,CharField,,,,
39,robotlocation,机器人位置表,区域名称机器人所在区域的名称,areaname,CharField,,,,
40,robotlocation,机器人位置表,坐标机器人在该区域内的X轴坐标,xcokwkwordkwkwinatex,CharField,,,,
41,robotlocation,机器人位置表,坐标机器人在该区域内的Y轴坐标,ycokwkwordkwkwinatey,CharField,,,,
42,robotlocation,机器人位置表,坐标机器人在该区域内的Z轴坐标如果适用,zcokwkwordkwkwinatez,CharField,,,,
43,robotlocation,机器人位置表,状态机器人的当前状态如“运行中”、“空闲”、“故障”等,status,CharField,,,,
44,robotlocation,机器人位置表,最后更新时间机器人位置信息最后一次更新的时间,lkwkwastupdatetime,DateTimeField,,,,
45,robotlocation,机器人位置表,工作站ID机器人当前所在的工作站的ID关联字段,wkwkworkstationid,SelectField,,,,
46,robotstatus,机器人状态表,机器人ID,robotid,UUIDField,,,,
47,robotstatus,机器人状态表,状态,status,CharField,,,,
48,robotstatus,机器人状态表,时间戳,timestamp,DateTimeField,,,,
49,robotstatus,机器人状态表,位置,location,CharField,,,,
50,robotstatus,机器人状态表,任务ID,tkwkwaskid,UUIDField,,,,
51,robotstatus,机器人状态表,故障代码,faultcode,CharField,,,,
52,robotstatus,机器人状态表,维护标志,makwkwintenanceflag,CharField,,,,
53,robotstatus,机器人状态表,电量水平,powerlevel,CharField,,,,
54,robotstatus,机器人状态表,上次维护日期,lkwkwastmakwkwintenancedate,DateField,,,,
55,robotstatus,机器人状态表,关联工作站ID,associatedwkwkworkstationid,SelectField,,,,
56,robottkwkwask,机器人任务表,任务ID,tkwkwaskid,UUIDField,,,,
57,robottkwkwask,机器人任务表,机器人ID,robotid,UUIDField,,,,
58,robottkwkwask,机器人任务表,任务名称,tkwkwaskname,CharField,,,,
59,robottkwkwask,机器人任务表,开始时间,starttime,DateTimeField,,,,
60,robottkwkwask,机器人任务表,结束时间,endtime,DateTimeField,,,,
61,robottkwkwask,机器人任务表,任务状态,status,CharField,,,,
62,robottkwkwask,机器人任务表,任务优先级,prikwkwority,CharField,,,,
63,robottkwkwask,机器人任务表,任务详情,details,CharField,,,,
64,robottkwkwask,机器人任务表,失败原因,failurerekwkwason,CharField,,,,
65,robottkwkwask,机器人任务表,关联流程ID,associatedprocessid,SelectField,,,,
66,productionlkwkwineconfig,生产线配置表,生产线ID,lkwkwineid,UUIDField,,,,
67,productionlkwkwineconfig,生产线配置表,生产线名称,lkwkwinename,CharField,,,,
68,productionlkwkwineconfig,生产线配置表,生产线位置,location,CharField,,,,
69,productionlkwkwineconfig,生产线配置表,产能,capacity,CharField,,,,
70,productionlkwkwineconfig,生产线配置表,生产线状态,status,CharField,,,,
71,productionlkwkwineconfig,生产线配置表,创建时间,creationtime,DateTimeField,,,,
72,productionlkwkwineconfig,生产线配置表,最后更新时间,lkwkwastupdatetime,DateTimeField,,,,
73,productionlkwkwineconfig,生产线配置表,机器人数量,robotcount,IntegerField,,,,
74,productionlkwkwineconfig,生产线配置表,维护周期,makwkwintenancecycle,CharField,,,,
75,productionlkwkwineconfig,生产线配置表,关联工厂ID,associatedfactkwkworyid,SelectField,,,,
76,permkwkwissionmanagement,权限管理表,权限ID,id,UUIDField,,,,
77,permkwkwissionmanagement,权限管理表,权限名称,permkwkwissionname,CharField,,,,
78,permkwkwissionmanagement,权限管理表,权限描述,description,TextField,,,,
79,permkwkwissionmanagement,权限管理表,创建时间,createdtime,DateTimeField,,,,
80,permkwkwissionmanagement,权限管理表,更新时间,updatedtime,DateTimeField,,,,
81,permkwkwissionmanagement,权限管理表,状态如启用禁用,status,CharField,,,,
82,permkwkwissionmanagement,权限管理表,关联角色ID,roleid,SelectField,,,,
83,permkwkwissionmanagement,权限管理表,关联用户ID可选用于特定用户权限,userid,SelectField,,,,
84,permkwkwissionmanagement,权限管理表,系统模块如生产监控、设备控制等,systemmodule,CharField,,,,
85,userinfo,用户信息表,用户ID,userid,UUIDField,,,,
86,userinfo,用户信息表,用户名,username,CharField,,,,
87,userinfo,用户信息表,密码,pkwkwasswkwkword,CharField,,,,
88,userinfo,用户信息表,电子邮箱,email,EmailField,,,,
89,userinfo,用户信息表,电话号码,phonenumber,CharField,,,,
90,userinfo,用户信息表,角色ID,roleid,UUIDField,,,,
91,userinfo,用户信息表,创建时间,createtime,DateTimeField,,,,
92,userinfo,用户信息表,最后登录时间,lkwkwastlogkwkwintime,DateTimeField,,,,
93,userinfo,用户信息表,是否激活,isactive,BooleanField,,,,
94,userinfo,用户信息表,部门ID,departmentid,UUIDField,,,,
95,roleinfo,角色信息表,角色ID,roleid,UUIDField,,,,
96,roleinfo,角色信息表,角色名称,rolename,CharField,,,,
97,roleinfo,角色信息表,角色描述,roledescription,TextField,,,,
98,roleinfo,角色信息表,创建时间,createtime,DateTimeField,,,,
99,roleinfo,角色信息表,更新时间,updatetime,DateTimeField,,,,
100,roleinfo,角色信息表,是否激活,isactive,BooleanField,,,,
101,roleinfo,角色信息表,权限ID列关联字段存储该角色拥有的权限ID集合以逗号分隔或采用其他方式存储,permkwkwissionids,SelectField,,,,
102,roleinfo,角色信息表,创建者ID关联字段指向创建该角色的用户ID,createdby,SelectField,,,,
103,roleinfo,角色信息表,更新者ID关联字段指向最后更新该角色的用户ID,updatedby,SelectField,,,,
104,userrolerelation,用户角色关联表,用户ID,userid,UUIDField,,,,
105,userrolerelation,用户角色关联表,角色名,rolename,CharField,,,,
106,userrolerelation,用户角色关联表,关联ID,relationid,SelectField,,,,
107,userrolerelation,用户角色关联表,创建时间,createtime,DateTimeField,,,,
108,userrolerelation,用户角色关联表,更新时间,updatetime,DateTimeField,,,,
109,userrolerelation,用户角色关联表,是否激活用于控制用户角色关系的有效性,isactive,BooleanField,,,,
110,userrolerelation,用户角色关联表,创建者ID,createdby,UUIDField,,,,
111,userrolerelation,用户角色关联表,更新者ID,updatedby,UUIDField,,,,
112,userrolerelation,用户角色关联表,角色ID关联到角色的ID,roleid,SelectField,,,,
113,robotfault,机器人故障表,故障ID,faultid,UUIDField,,,,
114,robotfault,机器人故障表,机器人ID,robotid,UUIDField,,,,
115,robotfault,机器人故障表,故障类型,faulttype,CharField,,,,
116,robotfault,机器人故障表,故障描述,faultdescription,TextField,,,,
117,robotfault,机器人故障表,故障时间,faulttime,DateTimeField,,,,
118,robotfault,机器人故障表,维修状态,repairstatus,CharField,,,,
119,robotfault,机器人故障表,维修时间,repairtime,DateTimeField,,,,
120,robotfault,机器人故障表,维修人员,repairperson,CharField,,,,
121,robotfault,机器人故障表,故障严重程度,faultseverity,CharField,,,,
122,robotfault,机器人故障表,关联组件,relatedcomponent,SelectField,,,,
123,makwkwintenancereckwkword,维修记录表,记录ID,reckwkwordid,UUIDField,,,,
124,makwkwintenancereckwkword,维修记录表,机器人ID,robotid,UUIDField,,,,
125,makwkwintenancereckwkword,维修记录表,维修日期,makwkwintenancedate,DateField,,,,
126,makwkwintenancereckwkword,维修记录表,维修类型,makwkwintenancetype,CharField,,,,
127,makwkwintenancereckwkword,维修记录表,问题描述,problemdescription,TextField,,,,
128,makwkwintenancereckwkword,维修记录表,维修状态,repairstatus,CharField,,,,
129,makwkwintenancereckwkword,维修记录表,技术员ID,technicianid,UUIDField,,,,
130,makwkwintenancereckwkword,维修记录表,维修费用,repaircost,CharField,,,,
131,makwkwintenancereckwkword,维修记录表,维修时长,repairduration,CharField,,,,
132,makwkwintenancereckwkword,维修记录表,相关部件,relatedparts,CharField,,,,
133,robotmokwkwdel,机器人型号表,机器人型号ID,robotmokwkwdelid,UUIDField,,,,
134,robotmokwkwdel,机器人型号表,机器人型号名称,mokwkwdelname,CharField,,,,
135,robotmokwkwdel,机器人型号表,制造商,manufacturer,CharField,,,,
136,robotmokwkwdel,机器人型号表,生产年份,productionyear,CharField,,,,
137,robotmokwkwdel,机器人型号表,最大负载能力,maxpayload,CharField,,,,
138,robotmokwkwdel,机器人型号表,工作电压,operatkwkwingvoltage,CharField,,,,
139,robotmokwkwdel,机器人型号表,连接类型,connectivitytype,CharField,,,,
